[2025-11-08T21:59:07.067268] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:12.074078] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:17.082761] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:22.089901] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:27.097896] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:32.104992] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:37.113178] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:42.121423] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:47.128969] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:52.135608] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:59:57.154555] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:02.162020] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:07.168924] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:12.176492] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:17.184338] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:22.192067] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:27.199009] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:32.206087] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:37.213453] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:42.219929] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:47.227292] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:52.234449] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:00:57.244587] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:02.252407] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:07.260850] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:12.268697] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:17.276451] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:22.284712] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:27.291252] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:32.298228] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:37.306639] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:42.314680] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:47.321306] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:52.328322] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:01:57.334747] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:02.341655] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:07.349270] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:12.356601] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:17.363407] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:22.369577] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:27.380964] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:32.387843] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:37.394040] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:42.401830] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:47.409801] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:52.418740] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:02:57.426311] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:02.434926] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:07.444439] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:12.452392] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:17.460614] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:22.468615] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:27.474946] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:32.482492] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:37.491496] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:42.499941] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:47.509987] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:52.517075] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:03:57.527410] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:02.538394] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:07.546555] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:12.553688] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:17.561341] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:22.569094] - X=0.5001, Y=0.4995, Z=0.9957
